created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T21:18:36-04:00,110,35,43,N,,,,
2023-04-15T21:19:04-04:00,111,36,26,N,,,,
2023-04-15T21:19:48-04:00,112,37,41,N,,,,
2023-04-15T21:20:19-04:00,113,38,28,N,,,,
2023-04-15T21:21:09-04:00,114,39,48,N,,,,
2023-04-15T21:21:34-04:00,115,40,23,N,,,,
2023-04-15T21:22:16-04:00,116,41,39,N,,,,
2023-04-15T21:22:45-04:00,117,42,27,N,,,,
2023-04-15T21:23:29-04:00,118,43,41,N,,,,
2023-04-15T21:24:01-04:00,119,44,29,N,,,,
2023-04-15T21:24:42-04:00,120,45,39,N,,,,
2023-04-15T21:25:09-04:00,121,46,25,N,,,,
2023-04-15T21:25:56-04:00,122,47,45,N,,,,
2023-04-15T21:26:21-04:00,123,48,23,N,,,,
2023-04-15T21:27:25-04:00,124,1,61,N,,,,
2023-04-15T21:27:51-04:00,125,2,24,N,,,,
2023-04-15T21:28:33-04:00,126,3,39,N,,,,
2023-04-15T21:29:03-04:00,127,4,28,N,,,,
2023-04-15T21:29:49-04:00,128,5,44,N,,,,
2023-04-15T21:30:19-04:00,129,6,27,N,,,,
2023-04-15T21:31:06-04:00,130,7,44,N,,,,
2023-04-15T21:31:35-04:00,131,8,27,N,,,,
2023-04-15T21:32:19-04:00,132,9,41,N,,,,
2023-04-15T21:32:51-04:00,133,10,30,N,,,,
2023-04-15T21:33:33-04:00,134,11,39,N,,,,
2023-04-15T21:33:59-04:00,135,12,24,N,,,,
2023-04-15T21:34:46-04:00,136,13,44,N,,,,
2023-04-15T21:35:11-04:00,137,14,23,N,,,,
2023-04-15T21:35:57-04:00,138,15,44,N,,,,
2023-04-15T21:36:25-04:00,139,16,25,N,,,,
2023-04-15T21:37:22-04:00,140,17,55,N,,,,
2023-04-15T21:37:51-04:00,141,18,27,N,,,,
2023-04-15T21:38:39-04:00,142,19,45,N,,,,
2023-04-15T21:39:04-04:00,143,20,23,N,,,,
2023-04-15T21:39:46-04:00,144,21,39,N,,,,
2023-04-15T21:40:11-04:00,145,22,23,N,,,,
2023-04-15T21:40:56-04:00,146,23,43,N,,,,
2023-04-15T21:41:25-04:00,147,24,26,N,,,,
2023-04-15T21:42:08-04:00,148,25,41,N,,,,
2023-04-15T21:42:33-04:00,149,26,23,N,,,,
2023-04-15T21:43:17-04:00,150,27,41,N,,,,
2023-04-15T21:43:45-04:00,151,28,25,N,,,,
2023-04-15T21:44:32-04:00,152,29,45,N,,,,
2023-04-15T21:44:57-04:00,153,30,23,N,,,,
2023-04-15T21:45:38-04:00,154,31,38,N,,,,
2023-04-15T21:46:07-04:00,155,32,26,N,,,,
2023-04-15T21:47:07-04:00,156,33,58,N,,,,
2023-04-15T21:47:34-04:00,157,34,24,N,,,,
2023-04-15T21:48:14-04:00,158,35,38,N,,,,
2023-04-15T21:48:40-04:00,159,36,23,N,,,,
2023-04-15T21:49:27-04:00,160,37,45,N,,,,
2023-04-15T21:49:57-04:00,161,38,27,N,,,,
2023-04-15T21:50:40-04:00,162,39,40,N,,,,
2023-04-15T21:51:05-04:00,163,40,23,N,,,,
2023-04-15T21:51:45-04:00,164,41,38,N,,,,
2023-04-15T21:52:17-04:00,165,42,29,N,,,,
2023-04-15T21:53:02-04:00,166,43,43,N,,,,
2023-04-15T21:53:29-04:00,167,44,25,N,,,,
2023-04-15T21:54:09-04:00,168,45,38,N,,,,
2023-04-15T21:54:35-04:00,169,46,23,N,,,,
2023-04-15T21:55:22-04:00,170,47,45,N,,,,
2023-04-15T21:55:51-04:00,171,48,26,N,,,,
2023-04-15T21:56:53-04:00,172,1,60,N,,,,
2023-04-15T21:57:21-04:00,173,2,25,N,,,,
2023-04-15T21:58:10-04:00,174,3,47,N,,,,
2023-04-15T21:58:40-04:00,175,4,28,N,,,,
2023-04-15T21:59:23-04:00,176,5,41,N,,,,
2023-04-15T21:59:49-04:00,177,6,23,N,,,,
2023-04-15T22:00:33-04:00,178,7,42,N,,,,
2023-04-15T22:01:00-04:00,179,8,25,N,,,,
2023-04-15T22:01:47-04:00,180,9,44,N,,,,
2023-04-15T22:02:12-04:00,181,10,23,N,,,,
2023-04-15T22:02:54-04:00,182,11,39,N,,,,
2023-04-15T22:03:19-04:00,183,12,23,N,,,,
2023-04-15T22:04:06-04:00,184,13,44,N,,,,
2023-04-15T22:04:36-04:00,185,14,27,N,,,,
