created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-04-15T20:02:30-04:00,1,26,16,N,,,,
2023-04-15T20:02:59-04:00,2,27,27,N,,,,
2023-04-15T20:03:28-04:00,3,28,27,N,,,,
2023-04-15T20:04:23-04:00,4,29,53,N,,,,
2023-04-15T20:05:22-04:00,5,30,56,N,,,,
2023-04-15T20:05:51-04:00,6,31,27,N,,,,
2023-04-15T20:06:17-04:00,7,32,24,N,,,,
2023-04-15T20:07:30-04:00,8,33,70,N,,,,
2023-04-15T20:08:25-04:00,9,34,52,N,,,,
2023-04-15T20:08:51-04:00,10,35,23,N,,,,
2023-04-15T20:09:17-04:00,11,36,23,N,,,,
2023-04-15T20:10:14-04:00,12,37,56,N,,,,
2023-04-15T20:11:13-04:00,13,38,56,N,,,,
2023-04-15T20:11:39-04:00,14,39,23,N,,,,
2023-04-15T20:12:08-04:00,15,40,27,N,,,,
2023-04-15T20:13:08-04:00,16,41,57,N,,,,
2023-04-15T20:14:03-04:00,17,42,53,N,,,,
2023-04-15T20:14:34-04:00,18,43,28,N,,,,
2023-04-15T20:15:03-04:00,19,44,27,N,,,,
2023-04-15T20:16:01-04:00,20,45,55,N,,,,
2023-04-15T20:17:00-04:00,21,46,57,N,,,,
2023-04-15T20:17:29-04:00,22,47,27,N,,,,
2023-04-15T20:17:54-04:00,23,48,24,N,,,,
2023-04-15T20:19:05-04:00,24,1,68,N,,,,
2023-04-15T20:20:05-04:00,25,2,58,N,,,,
2023-04-15T20:20:35-04:00,26,3,27,N,,,,
2023-04-15T20:21:01-04:00,27,4,23,N,,,,
2023-04-15T20:22:00-04:00,28,5,57,N,,,,
2023-04-15T20:22:58-04:00,29,6,56,N,,,,
2023-04-15T20:23:24-04:00,30,7,23,N,,,,
2023-04-15T20:23:50-04:00,31,8,24,N,,,,
2023-04-15T20:24:49-04:00,32,9,56,N,,,,
2023-04-15T20:25:47-04:00,33,10,56,N,,,,
2023-04-15T20:26:12-04:00,34,11,23,N,,,,
2023-04-15T20:26:42-04:00,35,12,27,N,,,,
2023-04-15T20:27:37-04:00,36,13,52,N,,,,
2023-04-15T20:28:34-04:00,37,14,54,N,,,,
2023-04-15T20:28:59-04:00,38,15,23,N,,,,
2023-04-15T20:29:29-04:00,39,16,27,N,,,,
2023-04-15T20:30:41-04:00,40,17,70,N,,,,
2023-04-15T20:31:39-04:00,41,18,55,N,,,,
2023-04-15T20:32:04-04:00,42,19,23,N,,,,
2023-04-15T20:32:30-04:00,43,20,24,N,,,,
2023-04-15T20:33:29-04:00,44,21,57,N,,,,
2023-04-15T20:34:28-04:00,45,22,56,N,,,,
2023-04-15T20:34:54-04:00,46,23,24,N,,,,
2023-04-15T20:35:24-04:00,47,24,28,N,,,,
2023-04-15T20:36:22-04:00,48,25,56,N,,,,
2023-04-15T20:37:18-04:00,49,26,54,N,,,,
2023-04-15T20:37:48-04:00,50,27,28,N,,,,
2023-04-15T20:38:14-04:00,51,28,24,N,,,,
2023-04-15T20:39:13-04:00,52,29,56,N,,,,
2023-04-15T20:40:11-04:00,53,30,56,N,,,,
2023-04-15T20:40:37-04:00,54,31,23,N,,,,
2023-04-15T20:41:03-04:00,55,32,24,N,,,,
2023-04-15T20:42:15-04:00,56,33,69,N,,,,
2023-04-15T20:43:13-04:00,57,34,57,N,,,,
2023-04-15T20:43:43-04:00,58,35,27,N,,,,
2023-04-15T20:44:09-04:00,59,36,24,N,,,,
2023-04-15T20:45:08-04:00,60,37,57,N,,,,
2023-04-15T20:46:06-04:00,61,38,56,N,,,,
2023-04-15T20:46:31-04:00,62,39,23,N,,,,
2023-04-15T20:46:57-04:00,63,40,24,N,,,,
2023-04-15T20:47:57-04:00,64,41,58,N,,,,
2023-04-15T20:48:58-04:00,65,42,59,N,,,,
2023-04-15T20:49:28-04:00,66,43,27,N,,,,
2023-04-15T20:49:58-04:00,67,44,28,N,,,,
2023-04-15T20:50:52-04:00,68,45,52,N,,,,
2023-04-15T20:51:51-04:00,69,46,57,N,,,,
2023-04-15T20:52:21-04:00,70,47,27,N,,,,
2023-04-15T20:52:46-04:00,71,48,23,N,,,,
2023-04-15T20:53:59-04:00,72,1,70,N,,,,
2023-04-15T20:54:57-04:00,73,2,56,N,,,,
2023-04-15T20:55:26-04:00,74,3,26,N,,,,
2023-04-15T20:55:55-04:00,75,4,27,N,,,,
2023-04-15T20:56:51-04:00,76,5,53,N,,,,
2023-04-15T20:57:49-04:00,77,6,57,N,,,,
2023-04-15T20:58:18-04:00,78,7,26,N,,,,
2023-04-15T20:58:48-04:00,79,8,27,N,,,,
2023-04-15T20:59:42-04:00,80,9,52,N,,,,
