"Arm","R_mean","number","round.min","DoseDay","Vol.SW.day.mL","Changes.SW.day.mL","umol.NH.day.mL","uM.NH.day.mL"
"Armand",38.7174536025241,48,"30.97",46.496609622215,2789.7965773329,4.64966096222151,13.9489828866645,23.2483048111075
"Armanda",39.1154019609505,48,"31.29",46.0210930009588,2761.26558005753,4.60210930009588,13.8063279002876,23.0105465004794
"Armand",61.4435677727253,48,"49.15",29.2980671414039,1757.88402848423,2.92980671414039,13.1841302136317,21.9735503560529
"Armanda",61.6918610057563,48,"49.35",29.1793313069909,1750.75987841945,2.91793313069909,13.1306990881459,21.8844984802432
